"study","source","scan_id","crosscut","manual_code","manual_rep","groove_left_manual","groove_right_manual"
"HouPers","/media/Sunny/CSAFE/Houston Persistence//Barrel F/Bullet 11/Scan 1/HTX - Persistence - Barrel F - Bullet 11 - Land 1 - Scan 1 - Sneox2 - 20x - auto light left image +20 perc. & x10 - Threshold 2 - Resolution 4 - Marco Yepez.x3p","HouPers-BrF-B11-L1",100,"hh",1,386.354999999989,1822.12499999995
"HouPers","/media/Sunny/CSAFE/Houston Persistence//Barrel F/Bullet 11/Scan 1/HTX - Persistence - Barrel F - Bullet 11 - Land 2 - Scan 1 - Sneox2 - 20x - auto light left image +20 perc. & x10 - Threshold 2 - Resolution 4 - Marco Yepez.x3p","HouPers-BrF-B11-L2",75,"hh",1,409.341734620113,1746.91108231675
"HouPers","/media/Sunny/CSAFE/Houston Persistence//Barrel F/Bullet 11/Scan 1/HTX - Persistence - Barrel F - Bullet 11 - Land 3 - Scan 1 - Sneox2 - 20x - auto light left image +20 perc. & x10 - Threshold 2 - Resolution 4 - Marco Yepez.x3p","HouPers-BrF-B11-L3",125,"hh",1,746.478767424596,1873.30196692141
"HouPers","/media/Sunny/CSAFE/Houston Persistence//Barrel F/Bullet 11/Scan 1/HTX - Persistence - Barrel F - Bullet 11 - Land 4 - Scan 1 - Sneox2 - 20x - auto light left image +20 perc. & x10 - Threshold 2 - Resolution 4 - Marco Yepez.x3p","HouPers-BrF-B11-L4",75,"hh",1,493.424999999986,1940.4240145898
"HouPers","/media/Sunny/CSAFE/Houston Persistence//Barrel F/Bullet 11/Scan 1/HTX - Persistence - Barrel F - Bullet 11 - Land 5 - Scan 1 - Sneox2 - 20x - auto light left image +20 perc. & x10 - Threshold 2 - Resolution 4 - Marco Yepez.x3p","HouPers-BrF-B11-L5",100,"hh",1,510.594614609624,1905.03475307749
"HouPers","/media/Sunny/CSAFE/Houston Persistence//Barrel F/Bullet 11/Scan 1/HTX - Persistence - Barrel F - Bullet 11 - Land 6 - Scan 1 - Sneox2 - 20x - auto light left image +20 perc. & x10 - Threshold 2 - Resolution 4 - Marco Yepez.x3p","HouPers-BrF-B11-L6",50,"hh",1,403.124999999989,1841.63745941848
"HouPers","/media/Sunny/CSAFE/Houston Persistence//Barrel F/Bullet 12/Scan 1/HTX - Persistence - Barrel F - Bullet 12 - Land 1 - Scan 1 - Sneox2 - 20x - auto light left image +20 perc. & x10 - Threshold 2 - Resolution 4 - Marco Yepez.x3p","HouPers-BrF-B12-L1",100,"hh",1,444.404999999988,1887.56973895143
"HouPers","/media/Sunny/CSAFE/Houston Persistence//Barrel F/Bullet 12/Scan 1/HTX - Persistence - Barrel F - Bullet 12 - Land 2 - Scan 1 - Sneox2 - 20x - auto light left image +20 perc. & x10 - Threshold 2 - Resolution 4 - Marco Yepez.x3p","HouPers-BrF-B12-L2",50,"hh",1,419.894999999988,1820.3376721016
"HouPers","/media/Sunny/CSAFE/Houston Persistence//Barrel F/Bullet 12/Scan 1/HTX - Persistence - Barrel F - Bullet 12 - Land 3 - Scan 1 - Sneox2 - 20x - auto light left image +20 perc. & x10 - Threshold 2 - Resolution 4 - Marco Yepez.x3p","HouPers-BrF-B12-L3",100,"hh",1,430.535322269608,1846.6606199156
"HouPers","/media/Sunny/CSAFE/Houston Persistence//Barrel F/Bullet 12/Scan 1/HTX - Persistence - Barrel F - Bullet 12 - Land 4 - Scan 1 - Sneox2 - 20x - auto light left image +20 perc. & x10 - Threshold 2 - Resolution 4 - Marco Yepez.x3p","HouPers-BrF-B12-L4",200,"hh",1,468.393866720217,1884.86245861518
"HouPers","/media/Sunny/CSAFE/Houston Persistence//Barrel F/Bullet 12/Scan 1/HTX - Persistence - Barrel F - Bullet 12 - Land 5 - Scan 1 - Sneox2 - 20x - auto light left image +20 perc. & x10 - Threshold 2 - Resolution 4 - Marco Yepez.x3p","HouPers-BrF-B12-L5",75,"hh",1,416.024999999988,1771.81499999995
"HouPers","/media/Sunny/CSAFE/Houston Persistence//Barrel F/Bullet 12/Scan 1/HTX - Persistence - Barrel F - Bullet 12 - Land 6 - Scan 1 - Sneox2 - 20x - auto light left image +20 perc. & x10 - Threshold 2 - Resolution 4 - Marco Yepez.x3p","HouPers-BrF-B12-L6",75,"hh",1,453.617334627041,1888.40874982906
"HouPers","/media/Sunny/CSAFE/Houston Persistence//Barrel F/Bullet 13/Scan 1/HTX - Persistence - Barrel F - Bullet 13 - Land 1 - Scan 1 - Sneox2 - 20x - auto light left image +20 perc. & x10 - Threshold 2 - Resolution 4 - Marco Yepez.x3p","HouPers-BrF-B13-L1",150,"hh",1,527.377959249683,1938.22499999995
"HouPers","/media/Sunny/CSAFE/Houston Persistence//Barrel F/Bullet 13/Scan 1/HTX - Persistence - Barrel F - Bullet 13 - Land 2 - Scan 1 - Sneox2 - 20x - auto light left image +20 perc. & x10 - Threshold 2 - Resolution 4 - Marco Yepez.x3p","HouPers-BrF-B13-L2",100,"hh",1,421.452197639084,1845.00336379106
"HouPers","/media/Sunny/CSAFE/Houston Persistence//Barrel F/Bullet 13/Scan 1/HTX - Persistence - Barrel F - Bullet 13 - Land 3 - Scan 1 - Sneox2 - 20x - auto light left image +20 perc. & x10 - Threshold 2 - Resolution 4 - Marco Yepez.x3p","HouPers-BrF-B13-L3",125,"hh",1,443.759999999988,1904.85780497593
"HouPers","/media/Sunny/CSAFE/Houston Persistence//Barrel F/Bullet 13/Scan 1/HTX - Persistence - Barrel F - Bullet 13 - Land 4 - Scan 1 - Sneox2 - 20x - auto light left image +20 perc. & x10 - Threshold 2 - Resolution 4 - Marco Yepez.x3p","HouPers-BrF-B13-L4",125,"hh",1,463.527684924904,1897.10986033742
"HouPers","/media/Sunny/CSAFE/Houston Persistence//Barrel F/Bullet 13/Scan 1/HTX - Persistence - Barrel F - Bullet 13 - Land 5 - Scan 1 - Sneox2 - 20x - auto light left image +20 perc. & x10 - Threshold 2 - Resolution 4 - Marco Yepez.x3p","HouPers-BrF-B13-L5",100,"hh",1,481.814999999987,1929.57888386768
"HouPers","/media/Sunny/CSAFE/Houston Persistence//Barrel F/Bullet 13/Scan 1/HTX - Persistence - Barrel F - Bullet 13 - Land 6 - Scan 1 - Sneox2 - 20x - auto light left image +20 perc. & x10 - Threshold 2 - Resolution 4 - Marco Yepez.x3p","HouPers-BrF-B13-L6",75,"hh",1,452.789999999987,1893.9671219801
"HouPers","/media/Sunny/CSAFE/Houston Persistence//Barrel F/Bullet 14/Scan 1/HTX - Persistence - Barrel F - Bullet 14 - Land 1 - Scan 1 - Sneox1 - 20x - auto light left image +20 perc. & x10 - Threshold 2 - Resolution 4 - Marco Yepez.x3p","HouPers-BrF-B14-L1",75,"hh",1,502.058976375763,1860.93204519612
"HouPers","/media/Sunny/CSAFE/Houston Persistence//Barrel F/Bullet 14/Scan 1/HTX - Persistence - Barrel F - Bullet 14 - Land 2 - Scan 1 - Sneox1 - 20x - auto light left image +20 perc. & x10 - Threshold 2 - Resolution 4 - Marco Yepez.x3p","HouPers-BrF-B14-L2",50,"hh",1,544.379999999985,1906.26504334781
"HouPers","/media/Sunny/CSAFE/Houston Persistence//Barrel F/Bullet 14/Scan 1/HTX - Persistence - Barrel F - Bullet 14 - Land 3 - Scan 1 - Sneox1 - 20x - auto light left image +20 perc. & x10 - Threshold 2 - Resolution 4 - Marco Yepez.x3p","HouPers-BrF-B14-L3",100,"hh",1,471.758453049647,1820.28400018133
"HouPers","/media/Sunny/CSAFE/Houston Persistence//Barrel F/Bullet 14/Scan 1/HTX - Persistence - Barrel F - Bullet 14 - Land 4 - Scan 1 - Sneox1 - 20x - auto light left image +20 perc. & x10 - Threshold 2 - Resolution 4 - Marco Yepez.x3p","HouPers-BrF-B14-L4",100,"hh",1,444.274820096388,1899.64765882974
"HouPers","/media/Sunny/CSAFE/Houston Persistence//Barrel F/Bullet 14/Scan 1/HTX - Persistence - Barrel F - Bullet 14 - Land 5 - Scan 1 - Sneox1 - 20x - auto light left image +20 perc. & x10 - Threshold 2 - Resolution 4 - Marco Yepez.x3p","HouPers-BrF-B14-L5",100,"hh",1,425.699999999988,1861.83490602725
