study,source,scan_id,crosscut,manual_code,manual_rep,groove_left_manual,groove_right_manual
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KA Bullet 1 Land 1-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KA-Bullet 1-Land 1,75,kr,1,458.9303036295274,1856.0453769479957
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KA Bullet 1 Land 2-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KA-Bullet 1-Land 2,125,kr,1,422.56917900769133,1907.5987870516751
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KA Bullet 1 Land 3-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KA-Bullet 1-Land 3,75,kr,1,362.7121632679663,1845.5896023613182
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KA Bullet 1 Land 4-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KA-Bullet 1-Land 4,100,kr,1,428.178435871847,1848.5807225760343
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KA Bullet 1 Land 5-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KA-Bullet 1-Land 5,50,kr,1,419.26898016384513,1863.7614145966027
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KA Bullet 1 Land 6-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KA-Bullet 1-Land 6,50,kr,1,255.87219333289096,1709.496735449908
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KA Bullet 2 Land 1-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KA-Bullet 2-Land 1,50,kr,1,383.15209559123065,1722.1162583849332
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KA Bullet 2 Land 2-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KA-Bullet 2-Land 2,50,kr,1,358.6700317737961,1816.262661861572
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KA Bullet 2 Land 3-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KA-Bullet 2-Land 3,125,kr,1,332.15548946459455,1759.1426000596384
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KA Bullet 2 Land 4-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KA-Bullet 2-Land 4,50,kr,1,373.42510792954204,1800.1263637348065
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KA Bullet 2 Land 5-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KA-Bullet 2-Land 5,50,kr,1,398.59796300958897,1744.2142843779723
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KA Bullet 2 Land 6-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KA-Bullet 2-Land 6,75,kr,1,462.70918467399207,1929.5228550472932
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KA Bullet 3 Land 1-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KA-Bullet 3-Land 1,75,kr,1,395.9578786119496,1741.2963914735174
