"study","source","scan_id","crosscut","manual_code","manual_rep","groove_left_manual","groove_right_manual"
"lapd","/media/Raven/LAPD/FAU 1/Bullet A/LAPD - 1 - Bullet A - Land 1 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","FAU 1-Bullet A-Land 1",100,"yg",1,189.584926271265,1979.35106347834
"lapd","/media/Raven/LAPD/FAU 1/Bullet A/LAPD - 1 - Bullet A - Land 2 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","FAU 1-Bullet A-Land 2",125,"yg",1,256.365151324524,2075.5228884575
"lapd","/media/Raven/LAPD/FAU 1/Bullet A/LAPD - 1 - Bullet A - Land 3 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","FAU 1-Bullet A-Land 3",100,"yg",1,308.5677988669,1966.51628835407
"lapd","/media/Raven/LAPD/FAU 1/Bullet A/LAPD - 1 - Bullet A - Land 4 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","FAU 1-Bullet A-Land 4",75,"yg",1,432.713431566273,2005.29755309673
"lapd","/media/Raven/LAPD/FAU 1/Bullet A/LAPD - 1 - Bullet A - Land 5 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","FAU 1-Bullet A-Land 5",175,"yg",1,310.136887971225,2134.39817739819
"lapd","/media/Raven/LAPD/FAU 1/Bullet A/LAPD - 1 - Bullet A - Land 6 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","FAU 1-Bullet A-Land 6",100,"yg",1,318.49995450616,2153.3465374973
"lapd","/media/Raven/LAPD/FAU 1/Bullet B/LAPD - 1 - Bullet B - Land 1 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","FAU 1-Bullet B-Land 1",150,"yg",1,225.730121677113,2047.17778106765
"lapd","/media/Raven/LAPD/FAU 1/Bullet B/LAPD - 1 - Bullet B - Land 2 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","FAU 1-Bullet B-Land 2",100,"yg",1,289.947979730773,2085.21664660842
"lapd","/media/Raven/LAPD/FAU 1/Bullet B/LAPD - 1 - Bullet B - Land 3 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","FAU 1-Bullet B-Land 3",175,"yg",1,299.477337460249,2004.06220454475
"lapd","/media/Raven/LAPD/FAU 1/Bullet B/LAPD - 1 - Bullet B - Land 4 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","FAU 1-Bullet B-Land 4",75,"yg",1,315.823120866652,2075.1846234061
"lapd","/media/Raven/LAPD/FAU 1/Bullet B/LAPD - 1 - Bullet B - Land 5 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","FAU 1-Bullet B-Land 5",100,"yg",1,239.646065878848,2069.47225017753
"lapd","/media/Raven/LAPD/FAU 1/Bullet B/LAPD - 1 - Bullet B - Land 6 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","FAU 1-Bullet B-Land 6",100,"yg",1,326.947905183859,2120.42557141314
"lapd","/media/Raven/LAPD/FAU 1/Bullet C/LAPD - 1 - Bullet C - Land 1 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","FAU 1-Bullet C-Land 1",100,"yg",1,253.952759918491,2031.82153567569
"lapd","/media/Raven/LAPD/FAU 1/Bullet C/LAPD - 1 - Bullet C - Land 2 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","FAU 1-Bullet C-Land 2",75,"yg",1,316.598619407824,2039.79310260428
