study,source,scan_id,crosscut,manual_code,manual_rep,groove_left_manual,groove_right_manual
phoenix,/media/Sunny/CSAFE/Phoenix Set//Gun 1-A9/B1/L1.x3p,Gun 1-A9/B1/L1,75,kr,1,330.8279633052765,2419.392427775891
phoenix,/media/Sunny/CSAFE/Phoenix Set//Gun 1-A9/B1/L2.x3p,Gun 1-A9/B1/L2,100,kr,1,302.93649309304584,2254.9491477143615
phoenix,/media/Sunny/CSAFE/Phoenix Set//Gun 1-A9/B1/L3.x3p,Gun 1-A9/B1/L3,100,kr,1,303.59556062161556,2362.8018328179605
phoenix,/media/Sunny/CSAFE/Phoenix Set//Gun 1-A9/B1/L4.x3p,Gun 1-A9/B1/L4,150,kr,1,297.83289977268913,2247.1258590417497
phoenix,/media/Sunny/CSAFE/Phoenix Set//Gun 1-A9/B1/L5.x3p,Gun 1-A9/B1/L5,125,kr,1,323.1268905849411,2290.54468563622
phoenix,/media/Sunny/CSAFE/Phoenix Set//Gun 1-A9/B1/L6.x3p,Gun 1-A9/B1/L6,175,kr,1,364.09021089914717,2297.524329584259
phoenix,/media/Sunny/CSAFE/Phoenix Set//Gun 1-A9/B2/L1.x3p,Gun 1-A9/B2/L1,175,kr,1,337.5442046929443,2273.9278796231897
phoenix,/media/Sunny/CSAFE/Phoenix Set//Gun 1-A9/B2/L2.x3p,Gun 1-A9/B2/L2,150,kr,1,328.6955359575433,2293.0999952165585
phoenix,/media/Sunny/CSAFE/Phoenix Set//Gun 1-A9/B2/L3.x3p,Gun 1-A9/B2/L3,125,kr,1,282.9774141579716,2265.0792108877886
phoenix,/media/Sunny/CSAFE/Phoenix Set//Gun 1-A9/B2/L4.x3p,Gun 1-A9/B2/L4,175,kr,1,305.4554732641213,2317.05181161745
phoenix,/media/Sunny/CSAFE/Phoenix Set//Gun 1-A9/B2/L5.x3p,Gun 1-A9/B2/L5,150,kr,1,331.64509220267695,2319.6460014227614
phoenix,/media/Sunny/CSAFE/Phoenix Set//Gun 1-A9/B2/L6.x3p,Gun 1-A9/B2/L6,100,kr,1,297.3454136253648,2256.0327148587103
phoenix,/media/Sunny/CSAFE/Phoenix Set//Gun 1-A9/B3/L1.x3p,Gun 1-A9/B3/L1,225,kr,1,426.73184707269854,2426.520054100142
phoenix,/media/Sunny/CSAFE/Phoenix Set//Gun 1-A9/B3/L2.x3p,Gun 1-A9/B3/L2,125,kr,1,430.0084098128709,2384.316161057315
phoenix,/media/Sunny/CSAFE/Phoenix Set//Gun 1-A9/B3/L3.x3p,Gun 1-A9/B3/L3,150,kr,1,347.731635363545,2345.1720611828955
phoenix,/media/Sunny/CSAFE/Phoenix Set//Gun 1-A9/B3/L4.x3p,Gun 1-A9/B3/L4,175,kr,1,394.13796641214356,2381.6307620795424
phoenix,/media/Sunny/CSAFE/Phoenix Set//Gun 1-A9/B3/L5.x3p,Gun 1-A9/B3/L5,100,kr,1,392.67631703251453,2388.0620440386106
